time_s,3mm,5mm,7mm,9mm,11mm
2.0,-0.01661068685933245,-0.03328918504134552,-0.011012931180271694,-0.05568636792601738,-0.005539047808317384
2.0005,0.016729873443348003,-0.04441851517777442,-0.0055677877842456565,-0.03889136760648917,0.02213938922447913
2.001,0.005571651476084787,-0.03888748974762313,-0.005566508862203822,-0.02773606135651789,0.03314527171777813
2.0015,0.02784083805182415,-0.022160718258660606,0.005561536023943607,-0.022149064251781925,-9.462113910215028e-09
2.002,0.027801295396763088,-0.02215864864841267,0.01111462475249094,-0.022126331382564722,0.022029164908811977
2.0025,0.02222113520999511,-0.033330543164750835,0.005553813142350695,-0.02212412153913226,0.044002817279546545
2.003,0.038842194142749906,-0.04447371108454253,0.011094837129325184,-0.016546012300720878,0.016497230812573954
2.0035,0.04977328296292679,-0.038884309206315346,0.005543217200955476,-9.526894560874737e-09,0.03841495439205728
2.004,0.038793618781881825,-0.011020544623636832,0.011079539633430635,-0.005550763459845918,0.03839136325853487
2.0045,0.0387592756883148,-0.03887684656516052,0.027677902165447906,0.0055480008305033015,0.05465555034901081
2.005,0.06630953957105756,-0.02770731676272877,0.016598560793387653,0.02217818045334177,0.05462204492159121
2.0055,0.0607188958960973,-0.027730379983906372,-9.476901509697663e-09,0.022158384937455936,0.06554821823934462
2.006,0.05518919516071664,-0.022144504352436773,0.022083572849785495,0.022162154964618815,0.05999213534074639
2.0065,0.06622011659050951,-0.02769926172223241,0.022069894105838414,0.022130839766031193,0.07087951086923867
2.007,0.07172350591019382,-9.547039344508928e-09,-9.45181332423397e-09,0.03870467418170407,0.07625572851061485
2.0075,0.06616385471695145,-0.005568396101281588,-0.005506343881954242,0.016601421070025654,0.04363725244929146
2.008,0.06061745430381154,-0.01655855659125575,0.011011530584113721,0.03868197001904833,0.08708292561422558
2.0085,0.04954202520877426,-0.010987602858330368,-0.005500212625043941,0.03313519201945343,0.07068755963241023
2.009,0.06610102654575699,-0.010987949172576507,0.010992195330549494,0.038659049873366456,0.0761173721123892
2.0095,0.07711168277238035,0.005560305685638714,0.010985349648799377,0.049660692294231215,0.08153450509370448
2.01,0.07157816518254063,-0.02211275652563346,0.005485736745657651,0.03862102384444311,0.09784431290100222
2.0105,0.09355847650894547,0.011112556141679171,0.010964654102231974,0.049651028378070027,0.07060479801864446
2.011,0.07699806500018225,-0.005558755309276903,-9.402703683718566e-09,0.06602319093360412,0.08150961773568446
2.0115,0.09349114301766617,0.011111957481354934,-0.005476994935749442,0.060457219041799494,0.07608880821427122
2.012,0.08236132312726643,0.016655230607185507,-0.005477892292816601,0.054951335820926143,0.0652443902142463
2.0125,0.07681455498298875,0.01667140031668292,-0.010816077048073207,0.0713560219214051,0.0816104280452782
2.013,0.08232367813701674,0.016658681827119017,-0.010820589026855823,0.07679699996659846,0.10877467003333145
2.0135,0.08221931504893505,0.038877080127180164,-9.383402079561554e-09,0.05477035361129728,0.0708163436793458
2.014,0.09316515982014532,0.038878353933026605,0.01640789811862155,0.0821466497079079,0.09262384274371542
2.0145,0.07660470308772763,0.04987953181822788,0.005468050222272712,0.07118859670411141,0.10361845973907093
2.015,0.07108907377537868,0.04441829685565602,0.01092800034087611,0.06566182791983893,0.09826294206231692
2.0155,0.06006442505801324,0.05547748114324529,0.02183404285657431,0.06015032841778486,0.08737880217612684
2.016,0.06001950871691848,0.06100783885880949,0.03821074247493763,0.05462957665119335,0.09286263701245318
2.0165,0.0599049327514271,0.0665414202326462,0.03273611677618782,0.06564277273169689,0.10388700035901817
2.017,0.04892207718912271,0.05538005695308634,0.04363252245087642,0.08203420274575003,0.10923816929259064
2.0175,0.03812061542314645,0.07765943348998845,0.04895504693888298,0.0655869416768651,0.08749167324085069
2.018,0.05429107419076057,0.08320821617717543,0.05439616908798346,0.08210396335598143,0.09295906588017365
2.0185,0.043434985396343384,0.06657010133319056,0.059780873433451516,0.0656255599879845,0.09841228699959734
2.019,0.043430528364256274,0.07208307278143425,0.07607221671280295,0.07664711581418285,0.09846697369678864
2.0195,0.04338179241484619,0.07209549546268934,0.08149640218669697,0.06567275685359343,0.10383934977037894
